Titulo,Free Text
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
Categoria:Origem/Áustria/Viena,[[Categoria:Origem/Áustria]]
,
,
Categoria:Origem/Alemanha/Berlim,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Selb,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Inglaterra/Londres,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Inglaterra/Londres,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Alemanha/Europa Central(?),[[Categoria:Origem/Alemanha]]
,
Categoria:Origem/Inglaterra/Londres,[[Categoria:Origem/Inglaterra]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Brasil/São Paulo,[[Categoria:Origem/Brasil]]
Categoria:Origem/Brasil/São Paulo,[[Categoria:Origem/Brasil]]
Categoria:Origem/Brasil/São Paulo,[[Categoria:Origem/Brasil]]
Categoria:Origem/França/Baccarat,[[Categoria:Origem/França]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
Categoria:Origem/Itália(?)/Roma(?),[[Categoria:Origem/Itália(?)]]
,
,
,
,
Categoria:Origem/Japão/Nara,[[Categoria:Origem/Japão]]
Categoria:Origem/Itália/Bolonha,[[Categoria:Origem/Itália]]
,
,
,
,
Categoria:Origem/Grécia/Corinto(?),[[Categoria:Origem/Grécia]]
,
,
,
,
,
,
,
Categoria:Origem/Itália/Veneza,[[Categoria:Origem/Itália]]
Categoria:Origem/Itália/Bolonha,[[Categoria:Origem/Itália]]
Categoria:Origem/Itália/Pesaro(?),[[Categoria:Origem/Itália]]
Categoria:Origem/Itália/Urbino - Castel Durante,[[Categoria:Origem/Itália]]
Categoria:Origem/Itália/Urbino ou Monte Bagnolo,[[Categoria:Origem/Itália]]
Categoria:Origem/Itália/Urbino,[[Categoria:Origem/Itália]]
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Itália/Roma,[[Categoria:Origem/Itália]]
Categoria:Origem/Itália/Roma,[[Categoria:Origem/Itália]]
,
,
,
,
,
,
,
,
,
Categoria:Origem/Brasil/Maranhão,[[Categoria:Origem/Brasil]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
,
,
,
Categoria:Origem/Itália/Veneza,[[Categoria:Origem/Itália]]
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Inglaterra/Sheffield,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Sheffield,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Brasil/São Paulo,[[Categoria:Origem/Brasil]]
Categoria:Origem/República Tcheca/Breslova,[[Categoria:Origem/República Tcheca]]
,
,
,
,
Categoria:Origem/Afeganistão/Região Norte,[[Categoria:Origem/Afeganistão]]
,
,
,
,
Categoria:Origem/Irã (Pérsia central)/Isfahan,[[Categoria:Origem/Irã (Pérsia central)]]
Categoria:Origem/Turquia/Ásia Menor,[[Categoria:Origem/Turquia]]
,
Categoria:Origem/Irã (Pérsia central)/Mahallat,[[Categoria:Origem/Irã (Pérsia central)]]
Categoria:Origem/Irã (Pérsia Região Norte)/Kurdistão,[[Categoria:Origem/Irã (Pérsia Região Norte)]]
,
Categoria:Origem/Irã (Pérsia Região Norte)/Qum,[[Categoria:Origem/Irã (Pérsia Região Norte)]]
Categoria:Origem/Pérsia/Região Norte,[[Categoria:Origem/Pérsia]]
,
,
Categoria:Origem/China/Região Norte,[[Categoria:Origem/China]]
Categoria:Origem/Pérsia central/Mahallat,[[Categoria:Origem/Pérsia central]]
,
,
Categoria:Origem/Anatólia central/Turquia,[[Categoria:Origem/Anatólia central]]
Categoria:Origem/China/Região Norte,[[Categoria:Origem/China]]
Categoria:Origem/Turquia/Anatólia central,[[Categoria:Origem/Turquia]]
Categoria:Origem/Turquia/Anatólia - Kayseri,[[Categoria:Origem/Turquia]]
Categoria:Origem/Anatólia central/Kayseri(Cesaréia),[[Categoria:Origem/Anatólia central]]
Categoria:Origem/Turquia/Anatólia,[[Categoria:Origem/Turquia]]
,
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
,
,
,
Categoria:Origem/Japão/Tóquio,[[Categoria:Origem/Japão]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Itália/Bolonha,[[Categoria:Origem/Itália]]
,
Categoria:Origem/Itália/Roma,[[Categoria:Origem/Itália]]
Categoria:Origem/Itália/Florença,[[Categoria:Origem/Itália]]
,
Categoria:Origem/Holanda/Leuven,[[Categoria:Origem/Holanda]]
Categoria:Origem/Holanda/Leuven,[[Categoria:Origem/Holanda]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Itália/Nápoles,[[Categoria:Origem/Itália]]
,
,
,
,
,
,
,
,
Categoria:Origem/Alemanha/Nüremberg,[[Categoria:Origem/Alemanha]]
,
,
,
,
Categoria:Origem/Alemanha/Nüremberg,[[Categoria:Origem/Alemanha]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Holanda/Haarlem,[[Categoria:Origem/Holanda]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Bélgica/Bruxelas(?),[[Categoria:Origem/Bélgica]]
,
,
,
,
,
,
Categoria:Origem/Índia/Goa,[[Categoria:Origem/Índia]]
,
,
,
,
,
,
,
,
,
Categoria:Origem/Inglaterra/Coalport,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Coalport,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Coalport,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Coalport,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Coalport,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Coalport,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Coalport,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Coalport,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Meissen,[[Categoria:Origem/Alemanha]]
,
,
,
Categoria:Origem/França/Baccarat,[[Categoria:Origem/França]]
Categoria:Origem/França/Baccarat,[[Categoria:Origem/França]]
,
,
,
Categoria:Origem/Itália/Murano,[[Categoria:Origem/Itália]]
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Brasil/São Paulo,[[Categoria:Origem/Brasil]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Brasil/São Paulo,[[Categoria:Origem/Brasil]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
