"figura votiva","M-0316"
"Peça de peitoral","M-0317"
"taça","M-0318"
"dançarina","M-0319"
"frasco para rapé","M-0320"
"frasco para rapé","M-0321"
"guardião (NI-O) E demônio (o-ni)","M-0322"
"figura feminina - netsukê","M-0323"
"deus da terra","M-0324"
"frasco para rapé","M-0325"
"menino com canastra - okimono","M-0326"
"frasco para rapé","M-0327"
"figura masculina","M-0328"
"peão de jogo de xadrez","M-0329"
"peão de jogo de xadrez","M-0330"
"frasco para perfume em forma de camponesa","M-0331"
"frasco para perfume em forma de camponês","M-0332"
"Casal de pastores","M-0333"
"tinteiro","M-0334"
"Mesa (Table en chiffonière)","M-0335"
"contador","M-0336"
"suporte para lenha (Chenet)","M-0337"
"suporte para lenha (Chenet)","M-0338"
"mesa (table en chiffonniére)","M-0339"
"mesa","M-0340"
"vitrine","M-0341"
"guanyin - Deusa da misericórdia","M-0342"
"figura de imortal - li tieguai","M-0343"
"figura de imortal - shou lao","M-0344"
" figura de imortal - lan caihe","M-0345"
"figura de imortal - zhong-li quan","M-0346"
"grupo escultórico","M-0347"
"estudos da cabeça de Saskia e outros","M-0348"
"candelabro","M-0349"
"candelabro","M-0350"
"retrato de dama","M-0351"
"relógio de mesa","M-0352"
"estojo de costura","M-0353"
"estojo de costura","M-0354"
"caixa","M-0355"
"caixa com miniatura","M-0356"
"caixa","M-0357"
"espelho","M-0358"
"escova de cabelo","M-0359"
"porta-retrato","M-0360"
"escova para roupa","M-0361"
"caixa","M-0362"
"escrivaninha feminina - bonheur du jour","M-0363"
"espelho de toucador","M-0364"
"relevo decorativo","M-0365"
"paisagem (relevo)","M-0366"
"Taça - Libation Cup ","M-0367"
"Figura de imortal","M-0368"
"Figura de imortal","M-0369"
"figura de imortal","M-0370"
"buda sorridente - pudai","M-0371"
"caixa","M-0372"
"recipiente (?)","M-0373"
"peso para papéis","M-0374"
"Caixa para chá","M-0375"
"cadeira de braços","M-0376"
"cadeira de braços","M-0377"
"cadeira dobradiça (de tesoura)","M-0378"
"cadeira dobradiça (de tesoura)","M-0379"
"cadeira dobradiça (de tesoura)","M-0380"
"cadeira dobradiça (de tesoura)","M-0381"
"Mesa para costura","M-0382"
"dedal para costura","M-0383"
"Retrós","M-0384"
"agulha","M-0385"
"frasco para perfume","M-0386"
"frasco para perfume","M-0387"
"castiçal","M-0388"
"mesa de centro (relevo adaptado)","M-0389"
"porta-revistas","M-0390"
"leque","M-0391"
"cabeça ","M-0392"
"Figura masculina ","M-0393"
"recipiente","M-0394"
"recipiente","M-0395"
"recipiente","M-0396"
"Figura de imortal","M-0397"
"frasco","M-0398"
"vaso","M-0399"
"figura masculina","M-0400"
"frasco com tampa","M-0401"
"Vaso","M-0402"
"tastevin","M-0403"
"recipiente","M-0404"
"relógio de parede","M-0405"
"tocheiro","M-0406"
"candelabro de parede","M-0407"
"candelabro de parede","M-0408"
"Cômoda - escrivaninha","M-0409"
"coluna","M-0410"
"vaso","M-0411"
"vaso","M-0412"
"caixa com miniatura","M-0413"
"caixa com miniatura","M-0414"
"figura de ""demônio""","M-0415"
"coluna (miniatura)","M-0416"
"tinteiro","M-0417"
"Relógio de mesaCom Cão de ""FO""","M-0418"
"recipiente (molheira?)","M-0419"
"açucareiro ou molheira","M-0420"
"sopeira","M-0421"
"Mesa de jogo","M-0422"
"prato","M-0423"
"Ovo de avestruz / objeto decorativo","M-0424"
"contador","M-0425"
"mesa","M-0426"
"biombo","M-0427"
"suporte para lenha (CHenet)","M-0428"
"suporte para lenha (CHenet)","M-0429"
"porta-espadas","M-0430"
"colar","M-0431"
"Retrato de moça (MinA KLABIN?)","M-0432"
"tastevin","M-0433"
"apito","M-0434"
"relevo","M-0435"
"caixa","M-0436"
"xícara","M-0437"
"castiçal","M-0438"
"castiçal","M-0439"
"escrivaninha feminina (bureau en pente ou Bureau en dos D'âne)","M-0440"
"retrato de dama","M-0441"
"fauno","M-0442"
"pia de água benta","M-0443"
"zeus (cabeça)","M-0444"
"Guan-Di (general chinês)","M-0445"
"boi","M-0446"
"recipiente","M-0447"
"","M-0448"
"recipiente","M-0449"
"Estatueta masculina","M-0450"
"estatueta","M-0451"
"Escultura Baulê","M-0452"
"BASTÃO (ogó), escultura emblemática de Exu","M-0453"
"Escultura Ashanti","M-0454"
"BASTÃO (oxê) com emblema de Xangô","M-0455"
"BASTÃO (oxê) com emblema de Xangô","M-0456"
"Esculura Mossi","M-0457"
"Topo de máscara (?) com escultura emblemática de Exu","M-0458"
"Topo de máscara","M-0459"
"figura de relicário","M-0460"
"Estatueta","M-0461"
"bastão cerimonial","M-0462"
"porta-retrato","M-0463"
"porta-retrato","M-0464"
"porta-retrato","M-0465"
"torso feminino","M-0466"
"mesa","M-0467"
"castiçal","M-0468"
"castiçal","M-0469"
"vitrine de canto","M-0470"
"vitrine de canto","M-0471"
"bule","M-0472"
"cremeira","M-0473"
"xícara","M-0474"
"xícara","M-0475"
"açucareiro","M-0476"
"Bandeja","M-0477"
"medalhão","M-0478"
"medalhão","M-0479"
"corola","M-0480"
"prato","M-0481"
"prato","M-0482"
"terrina","M-0483"
"xícara e pires (trembleuse)","M-0484"
"recipiente","M-0485"
"aplique de florão","M-0486"
"xícara","M-0487"
"xícara","M-0488"
"bule","M-0489"
"cremeira","M-0490"
"açucareiro","M-0491"
"recipiente para manteiga","M-0492"
"colher","M-0493"
"castiçal","M-0494"
"bandeja","M-0495"
"prato","M-0496"
"prato","M-0497"
"açucareiro","M-0498"
"xícara","M-0499"
"cremeira","M-0500"
"Xícara","M-0501"
"sino - Vajraghanta","M-0502"
"porta-garrafa","M-0503"
"pá para migalhas","M-0504"
"prato","M-0505"
"prato","M-0506"
"prato raso","M-0507"
"prato raso","M-0508"
"travessa","M-0509"
"travessa","M-0510"
"xícara","M-0511"
"recolhedor de cinzas","M-0512"
"tigela","M-0513"
"tigela","M-0514"
"tigela","M-0515"
"xícara","M-0516"
"colher de sal","M-0517"
"prato","M-0518"
"prato","M-0519"
"recipiente","M-0520"
"xícara","M-0521"
"Prato","M-0522"
"travessa","M-0523"
